Top TF:IDF,Tester,Species,Dx,terms used,Number of terms,Word Stem count,Total cases found,True Positive,False Positive,False Negative,"
True Negative",Recall-Sens,Specificity,Precision-PPV,NPV,Accuracy,F1-score,negR,negS,negF,negI,negG,negT,posR,posS,posF,posI,posG,posT
10,Keren Cox-Witton,Korora,Oil,"Oil, oiled, oiling, oilspill, oily",1,1,57,51,6,0,304,1,0.981,0.895,1,0.983,0.944,,,,,,,,,,,,
10,Keren Cox-Witton,Korora,Trauma,"Trauma, traumatic, traumatised, post-traumatic, injuries, injuries, vehicular, fractures, fracture, fractured, damage, damaged, wounds, wound",14,6,107,84,23,13,241,0.866,0.913,0.785,0.949,0.9,0.824,,,,,,,,,,,,
10,Keren Cox-Witton,Hoiho,DipStom,"Diphtheritic, diphtheria, diphtheric, diphtheritic, diphteria, diptheritic, diptheria, diptherial, diptheric, diptheritis, dipthertic",11,1,122,97,25,45,744,0.683,0.967,0.795,0.943,0.923,0.735,,,,,,,,,,,,
10,Keren Cox-Witton,Hoiho,Starve,"Underweight, energy, nutrition, malnutrition, malnutritioned, nutritional",6,3,49,21,28,201,656,0.095,0.959,0.429,0.765,0.747,0.155,,,,,,,,,,,,
5,Keren Cox-Witton,Korora,Oil,"Oil, oiled, oiling, oilspill, oily",1,1,57,51,6,0,304,1,0.981,0.895,1,0.983,0.944,,,,,,,,,,,,
5,Keren Cox-Witton,Korora,Trauma,"traumatic, post-traumatic, injuries, injuries, fractures, fracture, damage, wound, wounds",9,5,84,70,14,27,250,0.722,0.947,0.833,0.903,0.886,0.773,,,,,,,,,,,,
5,Keren Cox-Witton,Hoiho,DipStom,"diptheritic, diphtheric,diphtheritic, diptheric, diptheritis, dipthertic",6,1,112,90,22,52,747,0.634,0.971,0.804,0.935,0.919,0.709,,,,,,,,,,,,
5,Keren Cox-Witton,Hoiho,Starve,"Underweight, energy, malnutrition, malnutritioned",4,2,44,20,24,202,660,0.09,0.965,0.455,0.766,0.751,0.15,,,,,,,,,,,,
40,Silvia Ban,Korora,Oil,"Oiled, oil, oiling, oilspill, oily, hydrocarbon",6,2,58,51,7,0,303,1,0.977,0.879,1,0.981,0.936,,,,,,,4,3,,,,
40,Silvia Ban,Korora,Trauma,"Trauma, traumatic, traumatised
Haemorrhage, haemorrahages, haemorrhagic, haemorrahge, haemorrhaging, haemorrhge
Fractures, fracture, fractured
Laceration, lacerations, lacerate, lacerated",16,4,108,77,31,20,233,0.794,0.883,0.713,0.921,0.859,0.751,,19,,1,,,,17,4,9,,1
40,Silvia Ban,Hoiho,DipStom,"Stomatitis, diphtheritic, diptheritic,  diphtheria,  diphtheric, diptheria, diptherial, diptheric, diphteria, diphtheritic",10,2,145,117,28,25,741,0.824,0.964,0.807,0.967,0.942,0.815,,1,18,6,,,,4,8,16,,
40,Silvia Ban,Hoiho,Starve,"Emaciation, emaciated, emaciation, emaciated-, emaciated, hypoglycaemia, hypoglycaemic, 
Catabolic",8,3,147,119,28,103,656,0.536,0.959,0.81,0.864,0.855,0.645,,82,16,,,5,,2,4,22,,
20,Silvia Ban,Korora,Oil,"Oiled, oil, oiling, oilspill, oily, hydrocarbon",6,2,58,51,7,0,303,1,0.977,0.879,1,0.981,0.936,,,,,,,,,,,,
20,Silvia Ban,Korora,Trauma,"Trauma, traumatic, traumatised
Haemorrhage, haemorrahages, haemorrhagic, haemorrahge, haemorrhaging, haemorrhge
Fractures, fracture, fractured
Laceration, lacerations, lacerate, lacerated
",16,4,108,77,31,20,233,0.794,0.883,0.713,0.921,0.859,0.751,,,,,,,,,,,,
20,Silvia Ban,Hoiho,DipStom,"Stomatitis, diphtheritic, diptheritic,  diphtheria,  diphtheric, diptheria, diptherial, diptheric, diphteria, diphtheritic",10,2,145,117,28,25,741,0.824,0.964,0.807,0.967,0.942,0.815,,,,,,,,,,,,
20,Silvia Ban,Hoiho,Starve,"Emaciation, emaciated, emaciation, emaciated-, emaciated, hypoglycaemia, hypoglycaemic, 
Catabolic",8,3,147,119,28,103,656,0.536,0.959,0.81,0.864,0.855,0.645,,,,,,,,,,,,
10,Silvia Ban,Korora,Oil,"Oiled, oil, oiling, oilspill, oily, hydrocarbon",6,2,58,51,7,0,303,1,0.977,0.879,1,0.981,0.936,,,,,,,,,,,,
10,Silvia Ban,Korora,Trauma,"Trauma, traumatic, traumatised, haemorrhage, haemorrhaging,Fractures, fracture, fractured, laceration, lacerations",10,4,107,78,29,19,235,0.804,0.89,0.729,0.925,0.867,0.765,,,,,,,,,,,,
10,Silvia Ban,Hoiho,DipStom,"Stomatitis, diphtheritic, diptheritic,  diphtheria,  diphtheric, diptheria, diptherial, diptheric, diphteria, diphtheritic",10,2,145,117,28,25,741,0.824,0.964,0.807,0.967,0.942,0.815,,,,,,,,,,,,
10,Silvia Ban,Hoiho,Starve,"Emaciation, emaciated, emaciation, emaciated-, emaciated, hypoglycaemia, hypoglycaemic, 
Catabolic
",8,3,147,119,28,103,656,0.536,0.959,0.81,0.864,0.855,0.645,,,,,,,,,,,,
5,Silvia Ban,Korora,Oil,"Oiled, oil, oiling, oilspill, oily",5,1,57,51,6,0,304,1,0.981,0.895,1,0.983,0.944,,,,,,,,,,,,
5,Silvia Ban,Korora,Trauma,"traumatic, haemorrhage, haemorrhaging, fractures, fracture, laceration",6,4,80,63,17,34,247,0.649,0.936,0.788,0.879,0.859,0.712,,,,,,,,,,,,
5,Silvia Ban,Hoiho,DipStom,"stomatitis, diptheritic, diphtheric, diphtheritic, diptheric, diptheritis, dipthertic",7,2,141,116,25,26,744,0.817,0.967,0.823,0.966,0.944,0.82,,,,,,,,,,,,
5,Silvia Ban,Hoiho,Starve,"Emaciation, emaciated, emaciation, emaciated,  hypoglycaemia, hypoglycaemic, 
Catabolic",8,3,147,119,28,103,656,0.536,0.959,0.81,0.864,0.855,0.645,,,,,,,,,,,,
